관광지,url,촬영장소,검색 키워드
감악산 출렁다리의 아침,http://tong.visitkorea.or.kr/cms2/website/52/2504252.jpg,경기도 파주시 적성면,"2017 제45회 대한민국 관광사진 공모전,입선,감악산 출렁다리의 아침,경기도 파주시,산악 현수교,다리,겨울,설경,눈"
감은사지 삼층석탑,http://tong.visitkorea.or.kr/cms2/website/29/977429.jpg,경상북도 경주,"감은사지석탑,감은사지 삼층석탑,외국인 관광객"
감천동 문화마을,http://tong.visitkorea.or.kr/cms2/website/98/1261298.jpg,부산광역시,감천동 문화마을
감천문화마을,http://tong.visitkorea.or.kr/cms2/website/91/2802891.jpg,부산광역시 사하구 감천동,"감천문화마을,부산광역시 사하구,감천동 문화마을,태극도 마을"
감천문화마을의 빛,http://tong.visitkorea.or.kr/cms2/website/92/2563892.jpg,부산광역시 사하구 감천동,"2018 제46회 대한민국 관광사진 공모전,입선,감천문화마을의 빛,부산광역시 사하구,감천문화마을 야경,감천동 문화마을 야경,태극도 마을 야경,감천문화마을 전경,감천동 문화마을 전경,태극도 마을 전경"
갑사계곡,http://tong.visitkorea.or.kr/cms2/website/00/2047000.jpg,충청남도 공주시,"갑사계곡,충청남도 공주,계룡산,계룡팔경,계곡,가을,단풍,은행,나무,산책로,등산로"
갑천누리길,http://tong.visitkorea.or.kr/cms2/website/15/2604515.jpg,대전광역시,"갑천누리길,대전광역시,걷기여행,트레킹,트래킹"
강경교회(구 강경성결교회 예배당),http://tong.visitkorea.or.kr/cms2/website/89/2442489.jpg,충청남도 논산시 강경읍,"강경교회,충청남도 논산시,구 강경성결교회 예배당,등록문화재 제42호,한옥 예배당"
강경역사관(구 한일은행 강경지점),http://tong.visitkorea.or.kr/cms2/website/00/2442500.jpg,충청남도 논산시 강경읍," 강경역사관,충청남도 논산시,구 한일은행 강경지점,등록문화재 제324호,일제강점기"
강경젓갈시장,http://tong.visitkorea.or.kr/cms2/website/64/1833964.jpg,충청남도 논산,"논산 강경젓갈시장,재래시장,전통시장,젓갈"
강경젓갈전시관,http://tong.visitkorea.or.kr/cms2/website/51/1833951.jpg,충청남도 논산,"논산 강경젓갈전시관,유람선,배"
